order_id,order_date,customer_id,order_status
212,2026-02-18,18,shipped
227,2026-02-18,50,shipped
319,2026-02-18,76,completed
79,2026-02-19,23,completed
323,2026-02-19,20,completed
361,2026-02-19,76,completed
320,2026-02-20,69,completed
195,2026-02-21,69,completed
142,2026-02-23,78,cancelled
394,2026-02-23,41,completed
14,2026-02-24,1,completed
234,2026-02-25,38,shipped
362,2026-02-25,6,completed
70,2026-02-26,22,completed
146,2026-02-26,10,completed
366,2026-02-26,74,completed
226,2026-02-27,72,completed
164,2026-02-28,71,completed
372,2026-02-28,59,completed
181,2026-03-01,70,completed
213,2026-03-01,48,completed
368,2026-03-01,43,completed
420,2026-03-01,77,completed
230,2026-03-02,14,completed
38,2026-03-03,73,completed
33,2026-03-04,33,shipped
73,2026-03-04,37,completed
80,2026-03-04,10,completed
161,2026-03-04,64,shipped
185,2026-03-04,40,completed
336,2026-03-04,39,completed
177,2026-03-05,13,completed
192,2026-03-05,5,completed
411,2026-03-05,59,shipped
23,2026-03-06,58,completed
66,2026-03-06,49,completed
46,2026-03-07,57,completed
152,2026-03-07,68,completed
175,2026-03-07,28,completed
186,2026-03-07,20,completed
236,2026-03-07,75,completed
229,2026-03-08,10,completed
328,2026-03-09,67,shipped
303,2026-03-10,5,completed
365,2026-03-10,42,completed
162,2026-03-11,77,shipped
59,2026-03-12,57,shipped
62,2026-03-12,38,completed
76,2026-03-12,37,shipped
106,2026-03-12,56,completed
446,2026-03-12,55,completed
129,2026-03-13,48,completed
340,2026-03-14,39,shipped
406,2026-03-14,4,shipped
421,2026-03-14,54,shipped
247,2026-03-15,50,completed
273,2026-03-15,27,cancelled
429,2026-03-15,52,shipped
92,2026-03-16,76,completed
104,2026-03-16,15,completed
159,2026-03-16,72,completed
189,2026-03-16,54,completed
334,2026-03-16,3,shipped
390,2026-03-16,66,completed
391,2026-03-16,11,cancelled
147,2026-03-17,50,shipped
242,2026-03-17,23,completed
269,2026-03-17,78,completed
363,2026-03-18,80,completed
369,2026-03-18,48,shipped
426,2026-03-18,16,completed
105,2026-03-19,40,completed
171,2026-03-19,49,completed
187,2026-03-19,58,completed
277,2026-03-19,9,completed
270,2026-03-20,2,cancelled
44,2026-03-21,17,completed
207,2026-03-21,46,completed
134,2026-03-22,3,completed
188,2026-03-22,20,completed
255,2026-03-22,22,completed
386,2026-03-22,52,completed
405,2026-03-22,26,completed
438,2026-03-22,2,shipped
26,2026-03-23,60,completed
89,2026-03-23,33,shipped
198,2026-03-23,28,shipped
86,2026-03-24,46,completed
136,2026-03-24,65,shipped
140,2026-03-24,61,completed
233,2026-03-24,24,completed
425,2026-03-24,53,completed
149,2026-03-25,70,completed
210,2026-03-25,44,completed
356,2026-03-25,64,shipped
41,2026-03-26,68,completed
51,2026-03-26,10,completed
376,2026-03-26,28,completed
203,2026-03-27,68,completed
2,2026-03-29,13,completed
30,2026-03-29,4,completed
112,2026-03-29,75,completed
216,2026-03-29,32,cancelled
409,2026-03-29,73,completed
287,2026-03-30,8,completed
75,2026-04-01,38,cancelled
34,2026-04-02,4,cancelled
78,2026-04-02,47,shipped
115,2026-04-02,71,cancelled
209,2026-04-02,54,completed
238,2026-04-02,74,completed
258,2026-04-02,1,shipped
343,2026-04-02,80,completed
401,2026-04-02,63,cancelled
56,2026-04-03,56,completed
82,2026-04-03,49,shipped
373,2026-04-03,62,cancelled
434,2026-04-03,45,completed
55,2026-04-04,3,cancelled
254,2026-04-04,45,shipped
332,2026-04-04,71,completed
437,2026-04-04,4,completed
13,2026-04-06,56,completed
39,2026-04-06,36,completed
43,2026-04-06,37,cancelled
49,2026-04-06,80,completed
168,2026-04-06,61,completed
431,2026-04-06,8,cancelled
197,2026-04-07,7,completed
268,2026-04-07,78,completed
335,2026-04-07,2,completed
338,2026-04-07,52,completed
418,2026-04-07,73,completed
419,2026-04-07,19,shipped
422,2026-04-07,5,shipped
111,2026-04-08,20,shipped
423,2026-04-08,70,shipped
265,2026-04-10,22,completed
275,2026-04-10,78,completed
297,2026-04-11,32,completed
380,2026-04-11,72,shipped
399,2026-04-11,33,completed
9,2026-04-12,20,cancelled
103,2026-04-12,7,completed
442,2026-04-12,41,completed
352,2026-04-13,7,completed
354,2026-04-13,78,shipped
359,2026-04-13,35,shipped
348,2026-04-14,32,completed
69,2026-04-15,37,cancelled
118,2026-04-15,43,completed
169,2026-04-15,80,shipped
137,2026-04-16,50,cancelled
155,2026-04-16,71,completed
347,2026-04-16,55,completed
45,2026-04-17,63,completed
133,2026-04-17,80,completed
153,2026-04-17,76,completed
183,2026-04-17,52,shipped
245,2026-04-17,41,completed
211,2026-04-18,8,completed
117,2026-04-19,23,completed
400,2026-04-19,71,completed
157,2026-04-20,27,shipped
178,2026-04-20,26,shipped
252,2026-04-21,32,completed
256,2026-04-21,17,shipped
262,2026-04-21,12,shipped
156,2026-04-22,80,shipped
374,2026-04-22,77,completed
15,2026-04-23,16,shipped
18,2026-04-23,80,completed
57,2026-04-23,52,shipped
143,2026-04-23,38,completed
408,2026-04-23,31,shipped
22,2026-04-24,68,cancelled
1,2026-04-25,39,completed
144,2026-04-25,52,completed
392,2026-04-25,28,shipped
172,2026-04-27,34,completed
321,2026-04-27,80,completed
404,2026-04-27,43,shipped
223,2026-04-28,75,completed
5,2026-04-29,34,completed
447,2026-04-29,30,shipped
7,2026-04-30,20,completed
40,2026-04-30,61,completed
74,2026-04-30,33,completed
221,2026-04-30,11,completed
248,2026-05-01,23,completed
307,2026-05-01,79,shipped
241,2026-05-02,58,completed
274,2026-05-02,56,shipped
424,2026-05-02,74,completed
54,2026-05-03,52,cancelled
95,2026-05-03,15,shipped
302,2026-05-04,46,cancelled
306,2026-05-04,51,completed
412,2026-05-04,67,completed
